	baseMean	log2FoldChange	lfcSE	pvalue	padj
AQP5	148.9282528900725	3.463617559240943	0.23917138904500418	7.705931060096697e-75	2.661474469536197e-70
INSL5	33.61142143991657	-4.3106525021265805	0.3265806126599049	1.0343242619770654e-62	1.7861745680081944e-58
PRAC1	771.4269059609583	-4.738474458445674	0.2971801870962303	9.844625983891085e-59	1.1333789741054343e-54
DRD5	7.738970307475022	4.570058608694982	0.3083394660699807	1.9373563395736472e-51	1.6728103314048658e-47
HOXB13	1413.05331686635	-2.1150951389744357	0.14411357195229035	4.027597271521443e-50	2.782103091276152e-46
GDF10	67.67743989518816	-3.5019655360307826	0.2573902679625878	9.902606381602565e-46	5.700270320129823e-42
MUC6	249.74998685038634	3.9731734269647347	0.25252403005575863	8.433657634321384e-39	4.161166676774171e-35
TRPV6	49.92898511301181	2.611451701528971	0.24742623066006966	8.96769333245152e-35	3.8715774039526322e-31
CLDN18	586.2421390365886	2.2673290078738124	0.32515594718005975	2.3670821789078814e-34	9.08380936612449e-31
ANPEP	4266.906830100494	2.1832050987420497	0.18348781049729185	8.961231443303104e-34	3.0950301158880265e-30
M1AP	11.615451837951257	1.7366752756841628	0.16693181205090352	2.1851615180218318e-33	6.861009864494366e-30
CLDN8	78.98822802752584	-3.6404358067785214	0.3481381053132962	5.208529940156272e-33	1.499101725609311e-29
RP11-380D23.2	3.188690145709643	2.519541342889716	0.2216875424976613	2.7845662515265175e-31	7.397949938094067e-28
ELAVL2	51.56665534583043	-2.211010175342166	0.19621582180729955	7.271666713545618e-31	1.793920178231704e-27
H3F3AP6	13.974530534260508	1.4821321810555985	0.13756198140243375	2.515787710529528e-28	5.792685063084589e-25
C17orf78	34.07336544298509	1.9155736928615332	0.2618667245631449	5.515060285966217e-28	1.1904947009793826e-24
MTND1P23	178.5499259408233	1.4423138469362957	0.23087162589874918	1.6877029420224142e-27	3.428816718327656e-24
NR1H4	37.33491070930335	2.2025947588490924	0.2127403524791659	2.8032716520054756e-26	5.378855350942506e-23
ZNF880	135.49331710780785	-1.2581733742599401	0.12407991430986771	1.831462590513674e-25	3.2135746697573428e-22
HOXC6	65.90128913431231	2.281610796459801	0.22387669442587851	1.8608921592201879e-25	3.2135746697573428e-22
HOXC10	16.364742041834297	2.2919505493512564	0.2595518473663971	5.942519663921681e-25	9.773464007263192e-22
KRTAP13-2	3.3228835792918274	-4.339954244411547	0.4006605001500292	6.368334270091618e-25	9.99770586456474e-22
GPR126	842.3291993132548	1.1948015801053307	0.11929648043619823	1.0739615085438246e-24	1.612716634003766e-21
CLSTN2	208.21460637771253	-2.0266123583193467	0.18819294366474348	4.1498219158305286e-24	5.971939555373116e-21
TM4SF4	131.83613966326516	2.761273721002514	0.21438098742225195	3.641734718916425e-23	5.031129348877419e-20
SEMG1	49.77978841445239	2.5559901995966454	0.27228026347818074	4.200060099217314e-22	5.579295219491061e-19
MSH4	9.309045217144112	1.6374700152579926	0.1751754766829561	5.015098519559047e-22	6.186124023876085e-19
PCSK1N	232.39233405514187	-1.8594331666568533	0.2420930971738624	8.106032220897736e-22	9.654004856736759e-19
RAB27B	483.02013312597336	1.3184453448621047	0.14220522733217295	1.1695694817257173e-21	1.3464863586614275e-18
HOXD3	11.669175833290833	1.1800153174545305	0.12807776060823917	2.1019016544296064e-21	2.2686087293965543e-18
ZNF813	185.77117732327892	-1.350194595778967	0.14724478244081388	2.179723290592303e-21	2.2813116063780892e-18
LINC01314	25.55282558856265	-2.6571263214275005	0.22515993331621065	3.1313293212844617e-21	3.1808780028977277e-18
MEP1B	31.16196311062856	1.710471500811156	0.18712698675776754	3.466848533703584e-21	3.4210861330586963e-18
TFAP2A	243.41478880476205	1.3758358072754537	0.15093878681439293	5.1925361071990475e-21	4.847021947849749e-18
HOXB2	194.98346036335704	1.065636952362892	0.1169205515153075	5.39807768752387e-21	4.906284399255248e-18
FAM132B	85.59479135224639	1.257209736274306	0.1405211077266177	2.0437481590358602e-20	1.7646743479195137e-17
PYY	69.45146638256212	-2.2469422623620674	0.25346182748316937	2.1187191277174343e-20	1.7847883227586522e-17
NXPH4	217.6567671750354	1.9032339046151934	0.21294231891696422	2.5177388552108236e-20	2.0704205852683675e-17
HOXC9	14.2917167558627	1.8583190867062245	0.20820126423191182	3.516613131857487e-20	2.824576380188229e-17
FOXC2	43.15652530514463	-1.4847325701685024	0.16803757430942956	4.788314413053688e-20	3.758609163592006e-17
TFF2	266.0539518211401	2.698974792221532	0.2192866233999751	5.008769695079904e-20	3.844286393970438e-17
ZNF492	7.686868948085143	-2.1928766887552316	0.24998707288969296	5.961552054599982e-20	4.4760888013429164e-17
ULBP2	69.97878785443419	1.2157081816897166	0.1380558395410819	8.866417051317362e-20	6.515496002519129e-17
CTD-2377D24.4	68.57603008912706	-2.7403885114309707	0.31471474378270076	1.0439682805471299e-19	7.511786765320161e-17
DPCR1	6.267924300618804	2.9431235338763395	0.21656412168418201	1.1110004111858877e-19	7.830965755415958e-17
MYBPHL	23.413241288095957	-2.0347704429410105	0.27740312295257	1.242007191269304e-19	8.411067523933182e-17
NXF3	93.307002106494	2.2635927402919447	0.2598282932744329	1.9415055888468856e-19	1.2417725931035877e-16
MUC12	8096.203822453938	-1.4539539081979438	0.16937167045134158	2.0503682620812577e-19	1.2645646256386158e-16
CAMK2N2	17.673680052862075	1.415483158131292	0.1629004026720898	2.022295439315341e-19	1.2645646256386158e-16
VNN1	424.2166497276751	1.5935564428438411	0.183937587838472	3.106547977840525e-19	1.8823500712044923e-16
BHLHA9	7.914367637456066	-1.318675128952445	0.289368862092035	3.5925911523410317e-19	2.1393260899923198e-16
MYRFL	27.50761420237448	1.705507925576973	0.1990451132096114	7.341377035501032e-19	4.2975674585107565e-16
PTF1A	11.06871783510356	-1.7874439851394033	0.3726617039383444	7.838663000966917e-19	4.512195712123256e-16
CFAP74	22.42799578155107	-1.3148128172707039	0.15477642833052851	8.606106322400706e-19	4.794156454243155e-16
VSTM2L	184.50005099409825	-1.6475360248054551	0.19916269380037493	1.1713151895213165e-18	6.32107562745113e-16
ZNF853	193.8433250464218	-1.01492743226691	0.12064206427145088	2.026225772988561e-18	1.0766428576535218e-15
WIF1	192.62162299439316	-2.042935566715364	0.320571243233178	6.4259989451619275e-18	3.263840464235333e-15
RP11-613H2.2	1.7719388827486353	1.8554594134177829	0.22496167780638238	7.875127547565108e-18	3.94190080054788e-15
PDE10A	126.31569458121089	1.089069591576782	0.13170003873493755	9.090715221139289e-18	4.422184821235335e-15
DUSP15	118.82514492705441	-1.231248165644583	0.1502116183336293	9.651425567441521e-18	4.629735225670768e-15
HAGLR	363.006313297079	1.1908924599169597	0.14427502312298518	9.967481903019594e-18	4.715847807760148e-15
LMX1A	7.174673851265285	-1.6267385352580284	0.3061685514124793	1.0320339133045877e-17	4.816809094285655e-15
ZNF610	46.61439385079155	-1.0427336299052221	0.12666834513280212	1.0574302298340446e-17	4.869536703734431e-15
GBA3	31.35544042890184	1.580627392223773	0.19327717416832596	1.791311747584833e-17	8.034847420530515e-15
CCK	10.241923004098691	3.190530840247215	0.30757561873762784	3.4309937836113444e-17	1.4629588061526987e-14
DUSP4	1776.0035820782687	1.2574626607176893	0.15552832920205886	3.366411581116135e-17	1.4629588061526987e-14
ABCA17P	19.63684725042314	1.873538130816038	0.18988956274417348	5.002467933811913e-17	2.0816293674457332e-14
HMSD	11.084734604191555	1.4346069085385493	0.17985422471628476	8.341786681029162e-17	3.35010033010913e-14
CIITA	735.5691178881929	1.0488743984881725	0.1309801787312909	9.338439387771742e-17	3.707253098561614e-14
TRIM7	255.94895898648372	1.4242864965374156	0.17868097367003669	1.0527880859417985e-16	4.1319539673020274e-14
PIWIL1	259.85758345461875	1.7205842631466624	0.21662031183511773	1.2746916268202776e-16	4.891699934124305e-14
CLDN10	27.998228268058124	-2.057016950218714	0.30465453197268505	1.5843112557270724e-16	6.013070565967212e-14
RP4-694A7.2	6.516174442388877	1.3841621642052588	0.16520650152909147	2.0289136824090026e-16	7.534905458391628e-14
AIRE	13.711309355287364	-2.9863671283615	0.19848065579632304	2.320033248891967e-16	8.26075343816812e-14
ST6GAL2	147.10380188443708	-1.5117785220755817	0.19334198763791827	2.3076163270922734e-16	8.26075343816812e-14
RPE65	4.698175492733203	1.725187286719278	0.2430097916957994	2.7001497249898303e-16	9.51609910221416e-14
PRDM8	121.7402800072549	1.1248626921019809	0.14521654853686242	6.1428612794500795e-16	2.0800210085259496e-13
SYN3	112.88654786804425	-1.1464560440700697	0.1978408255983525	6.203197358049996e-16	2.0800585471100073e-13
ARL11	188.52512494280583	-1.0607357208625654	0.13864178932645513	9.41348259511757e-16	3.038531419347389e-13
GBP4	1355.6614656444399	1.058174974608955	0.13724465343269276	9.361737218954106e-16	3.038531419347389e-13
ACKR4	24.349559553823717	1.1969577279130328	0.15583663465677725	1.08613385328941e-15	3.473415835639782e-13
PRAC2	77.01156942548634	-1.2870319462590665	0.1690480432507952	1.149980499269732e-15	3.6438556407135785e-13
SCT	31.8581952587216	-1.2826197151132885	0.18275903904003551	1.6835678341656789e-15	5.238474401478758e-13
FOXD1	88.21162391593784	1.6807056319490956	0.221150567998534	1.8814178484389237e-15	5.750478730033942e-13
TCP11	34.8104204884858	1.5135284190933376	0.2985864141070268	2.765989692308447e-15	8.095911185843148e-13
LHFPL4	19.25647295236248	-1.4693490809114478	0.2819482557933571	3.216602400534023e-15	9.106148664724926e-13
HSPB3	16.334573564728977	-2.0902592415073795	0.2807501148097636	3.3471811287954144e-15	9.327065149295837e-13
RP11-217E13.1	7.22942357491014	-2.4617125648709948	0.3286787777779256	3.34864809344109e-15	9.327065149295837e-13
VSTM2B	5.748073246087443	-2.315789263622949	0.3832595227842533	3.5004737967998985e-15	9.671949119509991e-13
SLC25A21	18.4298273312921	1.4470733899351034	0.19244333712588715	3.62998412609351e-15	9.950189821191876e-13
RP11-11N5.1	133.41299218822058	-2.231613957627183	0.3006264747216853	3.897112845901017e-15	1.0598305785175537e-12
RP11-469H8.6	19.424066053197404	1.306117654910007	0.17414051537759295	3.985287238677174e-15	1.0753425831986895e-12
APCDD1	4159.766549264153	-1.2183402105700814	0.16523767334382597	4.50063206915159e-15	1.2049831814291288e-12
LPO	35.40221718848442	-1.5545505399143122	0.21031972439565516	6.111896005904701e-15	1.611394383602569e-12
ZNF415	92.7737563665297	-1.0033668423545254	0.13527785968538605	6.372877187373576e-15	1.6674729719508223e-12
ANXA10	31.3601988532435	1.6457912065659666	0.31547026347733453	6.713496085272277e-15	1.7175609466158068e-12
PAX9	81.67487230772807	1.1203349204382949	0.15080699542902587	7.10723242406123e-15	1.8049234813399027e-12
CYP1A1	7.6569448015639265	3.195567769485495	0.3111419038001297	9.13366832474918e-15	2.3026177854028262e-12
RSPO4	14.657935562396064	-1.072032115465496	0.2600071206065144	9.761763638696106e-15	2.404545940836396e-12
CTSE	2320.2354551069125	1.8170284245154358	0.24630098488039562	9.849233577533317e-15	2.404545940836396e-12
GPC3	329.18321098426634	1.2795234069801313	0.17402248610741936	1.1574553624244885e-14	2.7761245352372905e-12
DRGX	20.262163202975888	2.2521610252562696	0.3088550670288623	1.9758723226567364e-14	4.61099177567016e-12
AFAP1-AS1	385.89635508820817	2.0843312887349983	0.28597576362096916	2.024180491226383e-14	4.660743053731788e-12
CCL25	30.760096146483445	2.886146860085397	0.27398908151029994	2.0513849223268866e-14	4.692101486577882e-12
CD177	498.4211086694681	-1.209574929457498	0.23085245889205933	4.1630147278614754e-14	8.986387666929978e-12
FABP7	3.0941395885216028	2.036216445983822	0.2850707046609457	4.7194433522309995e-14	1.0061736697491002e-11
EPHA8	6.969166564385181	-1.863933365978537	0.29736084269188284	5.5243844313134615e-14	1.1492009280889713e-11
WASF3	215.5458146779186	-1.1720694773668259	0.1656175579401562	6.12252690110144e-14	1.2505662739847206e-11
HOXC8	12.038853208735775	1.7845448689979915	0.2498381508183704	6.252018193175294e-14	1.262761428981803e-11
PNMA2	162.1524659731757	1.1273753224675154	0.1586934019806166	7.576795898799621e-14	1.4953564385870934e-11
CXCL17	48.580594361199694	1.1828503461350928	0.25608827719317256	9.053660008287305e-14	1.7666401659108865e-11
RP11-404F10.2	4.622117145866988	1.1904347234609256	0.17012242316674298	1.0021029657192898e-13	1.944417541011957e-11
GNLY	225.68136240800652	1.0220665338360608	0.1455816035748567	1.410806046510385e-13	2.633860499155442e-11
SPRR1A	23.572715817167012	1.9779347596819334	0.3277287160486399	1.6434972264232537e-13	3.0517799573229215e-11
KRT36	14.838227401727385	-1.03542029644868	0.19414556168519193	1.9520846245320523e-13	3.56725390275598e-11
PDE6A	38.517209200145025	-1.1752379773794988	0.16995345625722982	2.0295621206635954e-13	3.689316659130487e-11
FABP3	321.60408056246985	-1.1861050467739362	0.17239578662015106	2.2042757306019996e-13	3.9651705824756174e-11
RP11-267C16.1	3.912682687433927	2.2145175209352295	0.32513239040215935	3.489280896801811e-13	5.965979386818859e-11
EVX2	4.217187581312329	-1.5048098268817363	0.22300965509588	3.697865811995488e-13	6.2914723849606e-11
INSM1	52.536593025894696	1.7200295485653077	0.2240430034434795	3.9659583638608e-13	6.649333493739044e-11
TNNC2	658.2533591465758	-1.1833142716138048	0.17385272585424152	4.2130539637558447e-13	7.029490714985476e-11
ZNF334	101.39151883718036	-1.5214766824441088	0.22380738867510838	4.2343915826184656e-13	7.031125792330604e-11
CXCL13	207.87500618310142	1.2648920966837531	0.18456668536270826	4.780090847312837e-13	7.899271659545013e-11
SEMG2	2.653506782013379	3.712081878928874	0.38269941765788557	5.485921846479488e-13	8.895435151817304e-11
ABCG5	28.874697628689944	1.0919190287235119	0.16027864027280023	6.087471852899658e-13	9.688898749099003e-11
SLC22A31	35.947842079855285	-1.7002165663150155	0.21713668148931256	6.246516539660744e-13	9.896430653523063e-11
LINC00176	60.777466995298326	-1.4045900781706386	0.166731667984667	6.52584143121736e-13	1.0210010851920571e-10
CARM1P1	1.3568907646435064	-3.5144661407319884	0.46949819405314125	6.53312988092665e-13	1.0210010851920571e-10
CTA-126B4.7	16.007484149617788	1.1916052472283936	0.17522355755554472	6.613798414594004e-13	1.0289521155101248e-10
AQP2	2.4608258801941245	1.5744790718630064	0.2341646282482263	8.11421030940364e-13	1.25672015993804e-10
FOXC2-AS1	1.874089385500577	-1.6274208808154276	0.3793726530379829	1.0248116594421852e-12	1.55240987253571e-10
HSD17B2	556.7354606772653	1.0186253481443535	0.15171760519578592	1.247639085537278e-12	1.8573689110468321e-10
TRNP1	349.0435212122181	1.069577008787505	0.1594481389524078	1.2982820380235092e-12	1.9162420952673486e-10
FAM72C	7.7155544179230215	1.0033477979243384	0.14894834334632098	1.3341490566934292e-12	1.9608017072373471e-10
SCNN1B	329.2997524746088	-1.3336259257353809	0.20106929827499315	1.3514366757763391e-12	1.970480752388867e-10
ST18	25.285807314069146	1.1436223273638237	0.17057611071279022	1.3521452843713056e-12	1.970480752388867e-10
SMC1B	12.029771198734402	1.5813932410673273	0.1639818752147295	1.4060313486572714e-12	2.0403996100808757e-10
LINC01535	4.363869271800453	-1.7657225074673377	0.22177954779276854	1.4161865607583279e-12	2.0465377169653193e-10
RP11-11N5.3	38.30774107078202	-2.1561243524533436	0.3272728565058202	1.5275181648218359e-12	2.1800587758932467e-10
ST8SIA6-AS1	9.726555917726621	-1.3885790444522292	0.26035640675791544	1.551055655753232e-12	2.204541573596919e-10
CA1	431.0566402809189	-1.3943106321468375	0.2864572558789862	1.6093836731536192e-12	2.2687711552399877e-10
FOXD4L1	3.2132658678827335	1.0042022542743503	0.15090907642757154	1.6160902626694066e-12	2.268964450897397e-10
SPACA3	39.212572248418525	-1.3692736534589158	0.20785694576179467	1.899666911141596e-12	2.5729684618434685e-10
MIA2	4.244796435983697	1.068626191275531	0.1602102469606801	1.9425213162213422e-12	2.6207344226426845e-10
MUC5AC	1977.4239083413402	1.7354546239840565	0.26193940469901544	2.210062872767066e-12	2.9585717635515085e-10
RP11-473M20.9	103.64663598992232	-1.032955792241009	0.15784794077625253	2.8263192500652915e-12	3.683600538066228e-10
SPINK6	3.6896316570600076	-2.160546760555141	0.27153749072970657	2.9447760056698736e-12	3.809238714750041e-10
HSD3B2	11.101865093489792	2.3951893870570826	0.2843724545957707	3.377831697269014e-12	4.3049280870951e-10
ABCG8	19.696591037605618	1.3423758214254777	0.20477498960633175	3.4863490828757072e-12	4.4106785576689074e-10
SLC38A3	55.402575135926874	-1.467700996925915	0.22644694807772794	3.83572862285369e-12	4.817396188222573e-10
HOXC4	32.50962118338532	1.2755206588860846	0.19488595427175523	3.935456405361063e-12	4.88930911253095e-10
RP11-696F12.1	24.21339278673673	-2.0681080381156964	0.32277110590645947	5.4356423995134855e-12	6.473662661875751e-10
TBX10	143.02629722702488	-1.12619776247172	0.1749848831473265	5.509248158472066e-12	6.538777075508873e-10
ZNF793-AS1	15.910689947165533	-1.0550342869291898	0.16308892470203976	5.543042150642545e-12	6.556355815030556e-10
HOXC-AS2	5.639571405394263	1.7621345909468191	0.27117523877411237	5.654017355813174e-12	6.664793564337045e-10
TTC24	5.069199164141271	1.2374064054014	0.19102926528208364	6.9783102098493115e-12	8.197852994142024e-10
CACNA1B	25.0773733938724	-1.6616102844075549	0.23743532489069405	7.0092185097480245e-12	8.206250470836518e-10
ALOXE3	10.54009657077213	1.099987312258789	0.17117069676994195	8.008463430343778e-12	9.281755367691725e-10
KCNG1	79.33960665724595	-1.1953600255669719	0.18765481183299976	8.117619985953389e-12	9.34554530249527e-10
TMEM72	46.48092794025057	-1.124578089156257	0.1767997825862774	8.673014238740294e-12	9.91882668137789e-10
SOX2-OT	6.279189937150387	1.093201812809447	0.17027567376442368	1.090488816234758e-11	1.203300406872718e-09
VNN2	90.95806612825338	1.059099078769186	0.16615065126779047	1.1566841057708737e-11	1.2682398617496648e-09
AIM2	93.4706055352878	1.1341033197743964	0.1779637200632224	1.1746102278207242e-11	1.2838192420402587e-09
CRYBA2	15.362195977447492	1.599314383388883	0.19994668233255564	1.1950731241315723e-11	1.3020642132888406e-09
AC009336.19	4.153866020060462	1.0301355766459799	0.16112728367858642	1.217526759252504e-11	1.3140918503457184e-09
RP11-247A12.2	20.653651167267068	-1.1250721740300815	0.17853159423168524	1.2397364841311367e-11	1.3297521331963105e-09
LINC00941	38.99312136190232	1.2483453529581423	0.19626070282828081	1.2697324195133886e-11	1.3535190834923894e-09
GAD1	121.04964691476924	1.04973372930943	0.16506256903000266	1.3384023093974782e-11	1.405037658418544e-09
UGT1A1	19.50737794599808	1.5408355052569338	0.2430540710672846	1.3839942584851026e-11	1.448496778774499e-09
F10	277.03499569355006	-1.0127836243562824	0.16068071594279115	1.4168252404044508e-11	1.4758033013455048e-09
KRBOX1	7.475217675369598	-1.3051274680631595	0.22302713603349947	1.4186307720386462e-11	1.4758033013455048e-09
NEUROG3	29.387357271317338	1.7455362960529857	0.27590634810324566	1.4820534687669036e-11	1.5325497815650095e-09
LY6G6E	13.985503121214903	-1.1381835540109564	0.18083702292263187	1.5777719712576853e-11	1.6218181054552957e-09
ZNF663P	29.318039379516243	-1.667863646765376	0.26744869012015854	1.7819208982839904e-11	1.8048089145141484e-09
MIOX	12.36423520314122	1.163388126926562	0.18629652396508076	1.923514471533962e-11	1.9312308958674413e-09
NCR1	4.574850732973153	1.0795579687969263	0.17168538758419055	1.9648364986568388e-11	1.9670006663944895e-09
FADS6	35.57831683076301	-1.1963099644988198	0.26843109212122457	2.1419585768529214e-11	2.138120385183416e-09
XXbac-BPG32J3.19	438.35208443380134	-1.422317847393104	0.22989656048426782	2.467824337235672e-11	2.4283110244856303e-09
CARD17	3.576264936563306	1.1749093608078045	0.18966063765354776	2.581485106582688e-11	2.5186252150043186e-09
ZNF285	49.24172342073406	-1.0283819691948766	0.1657310616556417	2.7864517942909136e-11	2.6882254768497088e-09
GNG4	1766.2219968247657	-1.141435144232908	0.1854451405640723	2.9697662369654484e-11	2.833419510837366e-09
RP11-996F15.4	5.417074159209812	1.01863390180004	0.16313097420272654	3.195745456035008e-11	3.023243534957662e-09
B3GNT7	1537.064921705493	-1.0862272928463226	0.1763306143596816	3.203738299248666e-11	3.023243534957662e-09
XKR9	101.15465154497296	1.1244818736754638	0.18082237062728154	3.2717218555494246e-11	3.048048432713875e-09
PIPOX	250.33463349090584	-1.115962209125279	0.1810638667618061	3.2643963802004094e-11	3.048048432713875e-09
SLC1A7	305.69607957845466	-1.1772700805458909	0.19189405799216877	3.6876902069995346e-11	3.3783937498501305e-09
RP1-213J1P__B.1	3.787781149733073	-1.8938342884752293	0.307496163019057	4.033115179184095e-11	3.6180709625626045e-09
ZG16	2471.0464405435946	-1.7110677060311221	0.28018637456471895	4.101754638715433e-11	3.6606305351926e-09
B3GALT5-AS1	28.03760528952642	-1.688275559080496	0.2309675410729481	4.418551910544959e-11	3.890676752507934e-09
CTC-338M12.1	2.0697130276440423	1.4860999326970823	0.24344688564110717	4.719311802368661e-11	4.105682393708031e-09
FAM83C	13.653927530939598	-1.788423680032286	0.25716781943478395	5.187858975950495e-11	4.479456832784455e-09
UTF1	1.1907832764691089	-2.4991785681792935	0.42692861327621384	5.8030878475155254e-11	4.946386546249534e-09
SPIB	85.5919512842493	1.050142533609972	0.17210984892470224	6.759788909736947e-11	5.666737605934337e-09
ASB5	7.044362752569629	-1.6486748153763704	0.36618938996742606	6.870120415756911e-11	5.745283751075355e-09
PRKAA2	91.24163935688657	-1.2884765350893628	0.2136191470552318	6.979385368401738e-11	5.80853040611709e-09
XXYLT1-AS2	5.920025612887955	1.1922734437736062	0.19719249786872634	7.276139762447764e-11	6.040945074889925e-09
AC004009.2	1.9842606414696122	1.903897637181405	0.3131236349267446	7.375375011407794e-11	6.1086499315108486e-09
CHRNA7	28.511993257940187	1.213723585747045	0.2003945715366497	8.59575437529802e-11	7.018443607896998e-09
AC012531.25	4.134362694251495	1.9358918217523369	0.3162751076924709	8.630575332256193e-11	7.030254972298688e-09
CHST13	111.60450231721694	-1.065558409419796	0.17837084136744488	1.0688034303191588e-10	8.505606653539886e-09
KLK10	1932.4074215292624	1.1166443739670275	0.18790198100716818	1.828902964311888e-10	1.376179751228845e-08
UTS2	27.51318118002905	1.150307175835797	0.19413515270692042	2.0137712500141623e-10	1.4957340093115945e-08
GABRP	315.4066236018959	1.3361906250690103	0.22586470394468508	2.018411274521681e-10	1.495963274665876e-08
HMX3	7.752273227732137	1.801155470192718	0.3076303398948373	2.242498119737828e-10	1.658488223972272e-08
